name,price
かけうどん・そば,360
きつねうどん・そば,420
たぬきうどん・そば,380
月見うどん・そば,400
ちくわ天うどん・そば,420
山菜うどん・そば,420
カレー南蛮うどん・そば,460
かき揚げうどん・そば,420
うどん・そばミニ丼セット,530
カレー南蛮ミニ丼セット,550
今週のラーメン,460
醤油ラーメン,430
塩ラーメン,430
味噌ラーメン,460
豚骨ラーメン,460
油そば,680
油そばハーフ,400
今週のラーメンミニ丼セット,570
醤油ラーメンミニ丼セット,570
塩ラーメンミニ丼セット,570
味噌ラーメンミニ丼セット,570
豚骨ラーメンミニ丼セット,570
麺大盛,150
カツ丼,550
かき揚げ丼,420
和風カレー丼,460
つけカツ丼(日替わり),510
豚生姜焼き丼(日替わり),530
辛口麻婆丼(日替わり),510
親子丼(日替わり),510
豚キムチ丼(日替わり),530
五目中華丼(日替わり),510
からあげ丼(日替わり),510
牛丼(日替わり),530
ハヤシライス(日替わり),530
ミニ日替わり丼,300
カレーライス,430
komorebiランチ,580
特別ランチ,580
ライス,120
ライス大盛券,120
ざるうどん・そば,440
冷やしたぬきうどん・そば,390
冷やしきつねうどん・そば,430
おろしかきあげうどん・そば,470
ざるそばミニ丼セット,530
ざるうどんミニ丼セット,530
冷やしきつねうどん・そばミニ丼セット,530
冷やしたぬきうどん・そばミニ丼セット,490
おろしかきあげうどん・そばミニ丼セット,570
